Date,Header,Content,sentiment_score,impact_score,relevance_score,confidence,short_term_score,medium_term_score,sentiment_momentum,sentiment_volatility,sentiment_trend
2013-09-20,JPMorgan bị phạt 920 triệu USD vì bê bối giao dịch,JPMorgan bị phạt 920 triệu USD vì bê bối giao dịch,-0.969106,0.969106,0.976012,0.976012,-0.969106,-0.969106,0.0,0.0,0.0
2017-09-20,"Không chỉ Bitcoin, JP Morgan từng 'phao tin' với thị trường bạc: Không có hàng nhưng khiến nhà đầu tư tin 'sái cổ', giá tăng gấp rưỡi!","Không chỉ Bitcoin, JP Morgan từng 'phao tin' với thị trường bạc: Không có hàng nhưng khiến nhà đầu tư tin 'sái cổ', giá tăng gấp rưỡi!",0.296897,0.296897,0.488284,0.488284,0.296897,-0.209504,1.266002,0.895199,-0.09495
2018-05-23,Ngân hàng JP Morgan Chase N.A Chi Nhánh Thành phố Hồ Chí Minh Khác: JPMorgan,Ngân hàng JP Morgan Chase N.A Chi Nhánh Thành phố Hồ Chí Minh Khác: JPMorgan,0.006564,0.006564,0.979933,0.979933,0.006564,-0.107156,-0.290333,0.663198,-0.083094
2019-02-15,J.P. Morgan Chase bất ngờ tung tiền mã hóa riêng,J.P. Morgan Chase bất ngờ tung tiền mã hóa riêng,-0.044,0.044,0.931568,0.931568,-0.044,-0.080922,-0.050564,0.548754,-0.067108
2020-04-18,JPMorgan Vietnam Opportunities Fund chuyển nhượng 2 triệu cổ phiếu MBB,JPMorgan Vietnam Opportunities Fund chuyển nhượng 2 triệu cổ phiếu MBB,0.006847,0.006847,0.982618,0.982618,0.006847,-0.047229,0.050847,0.482326,-0.063338
2020-04-18,JPMorgan Vietnam Opportunities Fund vừa chuyển nhượng 2 triệu cổ phiếu MBB,JPMorgan Vietnam Opportunities Fund vừa chuyển nhượng 2 triệu cổ phiếu MBB,0.013391,0.013391,0.978367,0.978367,0.013391,-0.025078,0.006544,0.43596,-0.05934
2020-09-23,Tập đoàn JPMorgan Chase tìm cách chuyển 230 tỉ USD từ Anh sang Đức phòng Brexit,Tập đoàn JPMorgan Chase tìm cách chuyển 230 tỉ USD từ Anh sang Đức phòng Brexit,0.009165,0.009165,0.977921,0.977921,0.009165,-0.012954,-0.004226,0.400728,-0.053769
2020-12-18,Vì sao J.P. Morgan định giá cổ phiếu TCB của Techcombank với giá 45.000 đồng/cp?,Vì sao J.P. Morgan định giá cổ phiếu TCB của Techcombank với giá 45.000 đồng/cp?,0.016387,0.016387,0.956781,0.956781,0.016387,-0.002777,0.007222,0.373169,-0.049581
2020-12-23,"Năm 2020: Ngân hàng ồ ạt lên sàn, chuyển sàn, giá cổ phiếu bùng nổ","Năm 2020: Ngân hàng ồ ạt lên sàn, chuyển sàn, giá cổ phiếu bùng nổ",-0.180834,0.180834,0.582871,0.582871,-0.180834,-0.063714,-0.197221,0.350588,-0.009251
2020-12-26,Gia tộc Morgan: Câu chuyện về cây đa cổ thụ của nền tài chính hiện đại,Gia tộc Morgan: Câu chuyện về cây đa cổ thụ của nền tài chính hiện đại,0.056546,0.056546,0.930323,0.930323,0.056546,-0.02292,0.237379,0.333942,-0.030542
